Name, Troll and Toad card price, Total Magic card price
Asphyxiate,$0.25,0.25
Grotesque Mutation,$0.25,0.5
Vampire Noble,$0.25,0.75
Grotesque Mutation,$0.25,1
Alms of the Vein,$0.25,1.25
Hanweir Watchkeep,$0.49,1.74
Indulgent Aristocrat,$0.25,1.99
Twins of Maurer Estate,$0.25,2.24
Stromkirk Mentor,$0.25,2.49
Twins of Maurer Estate,$0.25,2.74
Asylum Visitor,$0.99,3.7300000000000004
Immerwolf FOIL,$6.49,10.22
Twins of Maurer Estate,$0.25,10.47
Vampire Noble,$0.25,10.72
Vampire Noble,$0.25,10.97
Vampire Noble,$0.25,11.22
Village Ironsmith,$0.25,11.47
Vampire Noble,$0.25,11.72
Olivia's Bloodsworn,$0.39,12.110000000000001
Village Ironsmith,$0.25,12.360000000000001
Hinterland Hermit,$0.25,12.610000000000001
Alms of the Vein,$0.25,12.860000000000001
Stromkirk Mentor,$0.25,13.110000000000001
Twins of Maurer Estate,$0.25,13.360000000000001
Hinterland Hermit,$0.25,13.610000000000001
Olivia's Bloodsworn,$0.39,14.000000000000002
Alms of the Vein,$0.25,14.250000000000002
Hinterland Hermit,$0.25,14.500000000000002
Call the Bloodline,$0.35,14.850000000000001
Village Ironsmith,$0.25,15.100000000000001
Ulvenwald Mystics,$0.49,15.590000000000002
Ulvenwald Mystics,$0.49,16.080000000000002
Markov Dreadknight,$0.49,16.57
Hanweir Watchkeep,$0.49,17.06
Ulvenwald Mystics,$0.49,17.549999999999997
Scorned Villager,$0.39,17.939999999999998
Ulvenwald Mystics,$0.49,18.429999999999996
Instigator Gang,$1.19,19.619999999999997
Full Moon's Rise,$0.49,20.109999999999996
Grizzled Outcasts,$0.39,20.499999999999996
Full Moon's Rise,$0.49,20.989999999999995
Breakneck Rider,$0.25,21.239999999999995
Solitary Hunter,$0.25,21.489999999999995
Village Messenger,$0.39,21.879999999999995
Sage of Ancient Lore,$0.49,22.369999999999994
Breakneck Rider,$0.25,22.619999999999994
Hedron Blade,$0.25,22.869999999999994
Retreat to Valakut,$0.25,23.119999999999994
Hinterland Logger,$0.25,23.369999999999994
Hinterland Logger,$0.25,23.619999999999994
Duskwatch Recruiter,$2.69,26.309999999999995
Gatstaf Arsonists,$0.25,26.559999999999995
Convicted Killer,$0.25,26.809999999999995
Akroan Skyguard,$0.25,27.059999999999995
Swarm Surge,$0.25,27.309999999999995
Convicted Killer,$0.25,27.559999999999995
Cyclops of One-Eyed Pass FOIL,$0.35,27.909999999999997
Rollick of Abandon,$0.25,28.159999999999997
Feral Ridgewolf,$0.25,28.409999999999997
Convicted Killer,$0.25,28.659999999999997
Satyr Wayfinder,$0.25,28.909999999999997
Goblin War Paint,$0.25,29.159999999999997
Stone Haven Medic,$0.25,29.409999999999997
Curse of Stalked Prey,$0.35,29.759999999999998
Russet Wolves,$0.25,30.009999999999998
Pharagax Giant,$0.25,30.259999999999998
Hero of Iroas,$0.69,30.95
Hellhole Flailer,$0.35,31.3
Kor Entanglers,$0.25,31.55
Ondu Greathorn,$0.25,31.8
Loyal Pegasus,$0.25,32.05
Ondu Greathorn,$0.25,32.3
Grave Birthing,$0.25,32.55
Rix Maadi Guildmage,$0.35,32.9
Rix Maadi Guildmage,$0.35,33.25
Stitchwing Skaab,$0.25,33.5
Convicted Killer,$0.25,33.75
Grim Discovery,$0.25,34
Rolling Thunder,$0.25,34.25
Tajuru Stalwart,$0.25,34.5
Hinterland Logger,$0.25,34.75
Hamlet Captain,$0.35,35.1
Lamplighter of Selhoff,$0.25,35.35
Kessig Forgemaster,$0.25,35.6
Sage of Ancient Lore FOIL,$2.29,37.89
Urgent Exorcism,$0.25,38.14
Inspired Charge,$0.25,38.39
Rise from the Tides,$0.25,38.64
Tunneling Geopede,$0.35,38.99
Lamplighter of Selhoff,$0.25,39.24
Gatstaf Arsonists,$0.25,39.49
Lamplighter of Selhoff,$0.25,39.74
Demon's Grasp,$0.25,39.99
Jace's Scrutiny,$0.25,40.24
Solitary Hunter,$0.25,40.49
Gatstaf Arsonists,$0.25,40.74
Blisterpod,$0.18,40.92
Hedron Blade,$0.25,41.17
Angelic Gift,$0.25,41.42
Boiling Earth,$0.25,41.67
Survive the Night,$0.25,41.92
Solitary Hunter,$0.25,42.17
Pharagax Giant,$0.25,42.42
Titan's Presence,$0.25,42.67
Veilborn Ghoul,$0.35,43.02
Nettle Drone,$0.25,43.27
Curse of the Nightly Hunt,$0.35,43.620000000000005
Skitterskin,$0.25,43.870000000000005
Altar's Reap,$0.25,44.120000000000005
Culling Drone,$0.25,44.370000000000005
Earthen Arms,$0.25,44.620000000000005
Beckon Apparition,$0.35,44.970000000000006
Lambholt Pacifist,$0.25,45.220000000000006
Deathgazer,$0.25,45.470000000000006
Lamplighter of Selhoff,$0.25,45.720000000000006
Crumble to Dust,$0.59,46.31000000000001
Skulking Knight,$0.18,46.49000000000001
Complete Disregard,$0.25,46.74000000000001
Volcanic Upheaval,$0.25,46.99000000000001
Rise from the Tides,$0.25,47.24000000000001
Ghostly Wings,$0.25,47.49000000000001
Cranial Archive,$0.25,47.74000000000001
Gruesome Deformity,$0.35,48.09000000000001
Gnarled Scarhide,$0.25,48.34000000000001
Kozilek's Sentinel,$0.25,48.59000000000001
Goblin War Paint,$0.25,48.84000000000001
Bone Splinters,$0.35,49.19000000000001
Swell of Growth,$0.25,49.44000000000001
Stonefury,$0.25,49.69000000000001
Goblin War Paint,$0.25,49.94000000000001
Pharagax Giant,$0.25,50.19000000000001
Shambling Vent,$4.99,55.180000000000014
Pensive Minotaur,$0.25,55.430000000000014
Prized Amalgam,$0.89,56.320000000000014
Empyrial Plate,$0.69,57.01000000000001
Reckless Reveler,$0.25,57.26000000000001
Bone Splinters,$0.35,57.610000000000014
Vestige of Emrakul,$0.25,57.860000000000014
Akroan Skyguard,$0.25,58.110000000000014
Rouse the Mob,$0.25,58.360000000000014
Compelling Deterrence,$0.25,58.610000000000014
Kor Entanglers,$0.25,58.860000000000014
Living Armor,$0.18,59.04000000000001
Beckon Apparition,$0.35,59.390000000000015
Stonewise Fortifier,$0.25,59.640000000000015
Scour from Existence,$0.25,59.890000000000015
Goblin War Paint,$0.25,60.140000000000015
Nettle Drone,$0.25,60.390000000000015
Abyssal Specter,$0.18,60.570000000000014
Gravedigger,$0.25,60.820000000000014
Roil's Retribution,$0.25,61.070000000000014
Satyr Wayfinder,$0.25,61.320000000000014
Pharagax Giant,$0.25,61.570000000000014
Scour from Existence,$0.25,61.820000000000014
Forerunner of Slaughter,$0.35,62.170000000000016
Akoum Stonewaker,$0.25,62.420000000000016
Encircling Fissure,$0.25,62.670000000000016
Mire Shade,$0.25,62.920000000000016
Kozilek's Sentinel,$0.25,63.170000000000016
Black Cat,$0.18,63.350000000000016
Outnumber,$0.25,63.600000000000016
Brood Butcher,$0.20,63.80000000000002
Riot Devils,$0.25,64.05000000000001
Angelic Gift,$0.25,64.30000000000001
Volcanic Upheaval,$0.25,64.55000000000001
Bone Splinters,$0.35,64.9
Kruphix,$3.69,68.59
Felidar Cub,$0.25,68.84
Oreskos Swiftclaw,$0.25,69.09
Shrike Harpy,$0.25,69.34
Thunderous Might,$0.25,69.59
Gideon's Reproach,$0.25,69.84
Pharagax Giant,$0.25,70.09
Mind Raker,$0.25,70.34
hurloon Minotaur,$0.69,71.03
Slab Hammer,$0.25,71.28
Felidar Cub,$0.25,71.53
